14,1,2,15,127,2,3,0,2,5,1,3,1065
13,1,2,11,100,2,2,0,1,4,1,3,1050
13,2,2,18,101,2,3,0,2,5,1,3,1185
14,1,2,16,113,3,3,0,2,7,0,3,1480
13,2,2,21,118,2,2,0,1,4,1,2,735
14,1,2,15,112,3,3,0,1,6,1,2,1450
14,1,2,14,96,2,2,0,1,5,1,3,1290
14,2,2,17,121,2,2,0,1,5,1,3,1295
14,1,2,14,97,2,2,0,1,5,1,2,1045
13,1,2,16,98,2,3,0,1,7,1,3,1045
14,2,2,18,105,2,3,0,2,5,1,3,1510
14,1,2,16,95,2,2,0,1,5,1,2,1280
13,1,2,16,89,2,2,0,1,5,1,2,1320
14,1,2,11,91,3,3,0,2,5,1,2,1150
14,1,2,12,102,3,3,0,2,7,1,3,1547
13,1,2,17,112,2,2,0,1,7,1,2,1310
14,1,2,20,120,2,3,0,1,6,1,2,1280
13,1,2,20,115,2,3,0,1,6,1,2,1130
14,1,2,16,108,3,3,0,1,8,1,2,1680
13,3,2,15,116,2,3,0,1,5,0,3,845
14,1,2,16,126,3,3,0,2,5,1,3,780
12,3,2,18,102,2,2,0,1,4,1,3,770
13,1,2,16,101,2,2,0,1,3,1,4,1035
12,1,2,17,95,2,2,0,1,3,1,3,1015
13,1,2,20,96,2,2,0,1,3,1,3,845
13,2,3,25,124,2,2,0,1,3,1,3,830
13,1,2,16,93,2,2,0,1,4,0,3,1195
13,1,2,17,94,2,2,0,1,3,1,2,1285
13,1,2,19,107,2,2,0,1,4,1,3,915
14,1,2,16,96,2,2,0,1,4,1,3,1035
13,1,2,22,101,3,3,0,2,5,1,2,1285
13,1,2,19,106,2,3,0,1,6,1,2,1515
13,1,2,17,104,2,2,0,1,3,1,2,990
13,1,2,19,132,2,2,0,1,5,1,3,1235
13,1,2,19,110,2,2,0,1,4,1,2,1095
13,1,2,20,100,2,2,0,1,5,1,3,920
13,1,2,15,110,2,2,0,1,4,1,2,880
13,1,2,18,98,2,2,0,1,4,1,2,1105
13,1,2,15,98,2,2,0,1,3,1,2,1020
14,3,2,13,128,3,3,0,2,5,0,3,760
13,1,2,16,117,3,3,0,2,6,0,3,795
13,3,2,18,90,2,2,0,1,4,0,3,1035
13,1,2,15,101,3,3,0,1,5,0,3,1095
13,3,2,17,103,2,2,0,1,4,0,3,680
13,1,2,17,107,3,3,0,2,5,0,3,885
14,4,2,18,111,2,2,0,1,5,0,3,1080
14,3,2,16,102,3,3,0,2,4,1,3,1065
13,1,2,16,101,3,3,0,2,6,0,3,985
14,2,2,18,103,2,2,0,2,6,1,2,1060
13,1,2,17,108,2,3,0,2,8,1,3,1260
13,1,2,12,92,2,3,0,2,7,1,2,1150
13,1,2,17,94,2,2,0,2,5,1,3,1265
13,1,2,14,111,3,3,0,1,7,1,3,1190
